(''banco do brasil cobra restituicao de recursos de depositos judiciais do governo de minas'', ''Negative''),
(''bando do brasil avisa justica que governo de mg nao tem recursos em conta judicial'', ''Negative''),
(''bb avisa a justica que governo de minas gerais usou dinheiro dos depositos judiciais e nao tem como repor'', ''Negative''),
(''bb avisa justica q governo de mg nao tem recursos em conta judicial pimentel raspou o tacho'', ''Negative''),
(''bb avisa justica que governo de mg desgovernado pelo pt nao tem recursos em conta judicial'', ''Negative''),
(''bb cobra restituicao de recursos por parte do governo de mg estado afirma que instituicao criou artificio cont'', ''Negative''),
(''bb e estado de mg travam disputa juridica envolvendo depositos judiciais'', ''Negative''),
(''bb e governo de minas travam disputa sobre depositos judiciais'', ''Negative''),
(''brasil governador de minas compra dois helicopteros'', ''Negative''),
(''brasil profundo so faltou chegar de helicoptero do governo de absurdo'', ''Negative''),
(''brasilia o governo de minas gastara ao menos r milhoes com a compra de helicopteros as despesas estao'', ''Negative''),
(''calamidade em minas'', ''Negative''),
(''calamidade financeira e compra helicopteros e usa para resgatar o vagabundo do filho bebaco esses comunos'', ''Negative''),
(''caradepau e o governador de minas fernando pimentel que depois de ser flagrado pegando o filhao na festa comprou mais dois helicopteros'', ''Negative''),
(''com dividas acima de r milhoes pmu decreta estado de calamidade financeira confira a situacao do municipio'', ''Negative''),
(''com os dois pes na mierda ou melhor no atoleiro pimentel busca filho em festa de reveillon chamar o cara de'', ''Negative''),
(''comandante da pmmg peitou o governador fernando pimentel'', ''Negative''),
(''comecando o ano com chave de ouro fernando pimentel nao tem dinheiro para pagar voces funcionarios publicos mas'', ''Negative''),
(''crise q crise mesmo em calamidade financeira governo de mg compra mais dois helicopteros'', ''Negative''),
(''custaram r milhoes mesmo em calamidade governo de mg compra mais dois'', ''Negative''),
(''depois de decretar calamidade financeira governo de minas compra helicopteros essa matematica nao fecha'', ''Negative''),
(''detalhe o governador petista de mg decretou estado de calamidade financeira'', ''Negative''),
(''devasso pimentel some com depositos judiciais aproximadamente r bilhao para o pagamento de resgates dos'', ''Negative''),
(''doenca transmitida pelo mosquito pimentel pessoas morreram'', ''Negative''),
(''e inacreditavel governo de minas gerais compra mais dois helicopteros'', ''Negative''),
(''e o governador mais corrupto q mg ja teve continua solto'', ''Negative''),
(''e que vergonha o pimentel reu no stf bandido continuar como governador de minas'', ''Negative''),
(''e um palhaco que acha que o brasil e seu circo o governador de minas fernando pimentel do pt decretou'', ''Negative''),
(''em anos este desgovernador destruiu o estado estarrecedor que os deputados ainda o apoiam o povo mineiro'', ''Negative''),
(''em calamidade financeira governo de minas compra helicopteros'', ''Negative''),
(''em meio a calamidade financeira pimentel compra mais dois helicopteros para o governo de minas'', ''Negative''),
(''em meio a crise governo de mg compra dois helicopteros de r milhoes'', ''Negative''),
(''em mg o pt deu continuidade a venda de presidios pra parceiros eleitorais empresariais como fazia o psdb'', ''Negative''),
(''endividando ainda mais o estado de mg e quem pagara a conta e o povo mineiro sera que ele coleciona helicopter'', ''Negative''),
(''enquanto isso o governador do estado de minas gerais fernando pimentel coloca o helicoptero do governo para'', ''Negative''),
(''entrara para a historia como o pior governador de minas'', ''Negative''),
(''esbornia do governador do pt de minasuso de helicoptero por pimentel motiva protesto de servidores em mg'', ''Negative''),
(''esse cara nao tem capacidade para governar um estado do porte de mg'', ''Negative''),
(''esse governo de minas gerais e ridiculo pt entrou ipva de um veiculo que era de r em media passou para r'', ''Negative''),
(''esse pimentel e o mesmo ptista que governa o estado de mg que decretou estado de calamidade financeira mes passado'', ''Negative''),
